"","taxon","user_supplied_name","taxon_rank","kingdom","phylum","class","order","family","genus","species","superfamily","paper","subgenus","infraspecies"
"53","Pseudocordulia","Pseudocordulia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Pseudocordulia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"54","Macromidia","Macromidia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Macromidia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"55","Hemicordulia","Hemicordulia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Hemicordulia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"56","Procordulia","Procordulia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Procordulia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"57","Rhyothemis","Rhyothemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Rhyothemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"58","Dythemis","Dythemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Dythemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"59","Micrathyria","Micrathyria","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Micrathyria",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"60","Celithemis","Celithemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Celithemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"61","Sympetrum","Sympetrum","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Sympetrum",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"62","Leucorrhinia","Leucorrhinia","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Leucorrhinia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"63","Macrodiplax","Macrodiplax","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Macrodiplax",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"64","Urothemis","Urothemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Urothemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"65","Brachydiplax","Brachydiplax","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Brachydiplax",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"66","Chalcostephia","Chalcostephia","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Chalcostephia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"67","Tetrathemis","Tetrathemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Tetrathemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"68","Notiothemis","Notiothemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Notiothemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"69","Tramea","Tramea","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Tramea",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"70","Miathyria","Miathyria","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Miathyria",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"71","Tholymis","Tholymis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Tholymis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"72","Nannothemis","Nannothemis","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Nannothemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
