"","Order","Suborders","Superfamily","Family","OTOL node ID","GenbankTaxonID","GenBank ""Taxonomy""  value (# species in genbank taxonomy)","GenBank ""sp."" (# sp. listed in genbank taxonomy)","GenBank ""spp.""","CoL (or other) number of Species descibed (not # estimated to be known to taxonomists)","% of species in NCBI sequenced","X12","X13","X14","X15","taxon"
"435","Hexapoda: Diptera","Brachycera: Muscomorpha","Tephritoidea","Piophilidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Piophilidae"
"436","Hexapoda: Diptera","Brachycera: Muscomorpha","Tephritoidea","Platystomatidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Platystomatidae"
"437","Hexapoda: Diptera","Brachycera: Muscomorpha","Diopsoidea","Psilidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Psilidae"
"438","Hexapoda: Diptera","Brachycera: Muscomorpha","Tephritoidea","Pyrgotidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Pyrgotidae"
"439","Hexapoda: Diptera","Brachycera: Muscomorpha","Oestroidea","Rhiniidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Rhiniidae"
"440","Hexapoda: Diptera","Brachycera: Muscomorpha","Oestroidea","Rhinophoridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Rhinophoridae"
"441","Hexapoda: Diptera","Brachycera: Muscomorpha","Tephritoidea","Richardiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Richardiidae"
"442","Hexapoda: Diptera","Brachycera: Muscomorpha","Sciomyzoidea","Ropalomeridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Ropalomeridae"
"443","Hexapoda: Diptera","Brachycera: Muscomorpha","Oestroidea","Sarcophagidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Sarcophagidae"
"444","Hexapoda: Diptera","Brachycera: Muscomorpha","Muscoidea","Scathophagidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Scathophagidae"
"445","Hexapoda: Diptera","Brachycera: Muscomorpha","Sciomyzoidea","Sciomyzidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Sciomyzidae"
"446","Hexapoda: Diptera","Brachycera: Muscomorpha","Sciomyzoidea","Sepsidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Sepsidae"
"447","Hexapoda: Diptera","Brachycera: Muscomorpha","Diopsoidea","Somatiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Somatiidae"
"448","Hexapoda: Diptera","Brachycera: Muscomorpha","Sphaeroceroidea","Sphaeroceridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Sphaeroceridae"
"449","Hexapoda: Diptera","Brachycera: Muscomorpha","Diopsoidea","Strongylophthalmiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Strongylophthalmiidae"
"450","Hexapoda: Diptera","Brachycera: Muscomorpha","Diopsoidea","Syringogastridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Syringogastridae"
"451","Hexapoda: Diptera","Brachycera: Muscomorpha","Syrphoidea","Syrphidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Syrphidae"
"452","Hexapoda: Diptera","Brachycera: Muscomorpha","Oestroidea","Tachinidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Tachinidae"
"453","Hexapoda: Diptera","Brachycera: Muscomorpha","Tephritoidea","Tachiniscidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Tachiniscidae"
